Sample,Antisense_Gene,Antisense_Z_Score,Sense_Gene,Sense_Z_Score
BCH_0252-01,novelGene_ADORA2A-AS1_AS,4.15539540884122,novelGene_ADORA2A,
BCH_0252-01,novelGene_ADPGK_AS,2.120080803233,ADPGK,1.56966136229282
BCH_0252-01,novelGene_ADPRM_AS,2.15817235891349,ADPRM,-1.1781200603945
BCH_0252-01,novelGene_AFAP1_AS,2.37749859390035,AFAP1,0.119463982618576
BCH_0252-01,novelGene_AFDN_AS,3.43130861173721,AFDN,-0.023710360771175
BCH_0252-01,novelGene_AFF4_AS,2.6556706152304,AFF4,2.37552537536003
BCH_0252-01,novelGene_AGFG2_AS,2.58153773693251,AGFG2,-0.167666224227928
BCH_0252-01,novelGene_AK2_AS_novelGene_Metazoa_SRP_AS,4.22118573746402,AK2,-1.54853144198569
BCH_0252-01,novelGene_AKAP1_AS,2.38880822250281,AKAP1,0.512484079163545
BCH_0252-01,novelGene_ALDH2_AS,3.98298198637236,ALDH2,1.2444765948773
BCH_0252-01,novelGene_ALDH3A2_AS,2.21168835175892,ALDH3A2,0.606775878376872
BCH_0252-01,novelGene_ALG13_AS,2.13307343790718,ALG13,1.07075781625137
BCH_0252-01,novelGene_ALG5_AS,2.70030968643321,ALG5,-1.26988073380614
BCH_0252-01,novelGene_ALKBH3-AS1_AS,3.72154318518907,novelGene_ALKBH3,
BCH_0252-01,novelGene_ALOX12-AS1_AS,3.98298198637236,novelGene_ALOX12,
BCH_0252-01,novelGene_AMPD3_AS,2.10100162350714,AMPD3,0.38189246086897
BCH_0252-01,novelGene_ANAPC7_AS,3.61137423713421,ANAPC7,-0.424696984170851
BCH_0252-01,novelGene_ANGPTL1_AS,2.6701569361739,ANGPTL1,-0.0459319267794056
BCH_0252-01,novelGene_ANKHD1-EIF4EBP3_AS,2.47014745669163,ANKHD1-EIF4EBP3,0.53217555363752
BCH_0252-01,novelGene_ANKRD10_AS,2.80491909265561,ANKRD10,-0.124864400330871
BCH_0252-01,novelGene_ANKRD11_AS,2.8180033930519,ANKRD11,2.70527928552642
BCH_0252-01,novelGene_ANKRD26_AS,3.13815127774278,ANKRD26,2.51821709223583
BCH_0252-01,novelGene_ANKRD40_AS,2.37664221108794,ANKRD40,2.23191005983016
BCH_0252-01,novelGene_ANKRD54_AS,3.32766855865862,ANKRD54,-0.419935644372638
BCH_0252-01,novelGene_ANXA1_AS,4.34701380038236,ANXA1,0.355524175506359
BCH_0252-01,novelGene_ANXA2R-AS1_AS_novelGene_ZNF131_AS,4.30261320793597,novelGene_ANXA2R,
BCH_0252-01,novelGene_AP1G1_AS,3.69615798874623,AP1G1,1.70961459653694
BCH_0252-01,novelGene_AP2A1_AS,2.96304299251486,AP2A1,-0.310994149731115
BCH_0252-01,novelGene_AP2A2_AS,3.48654945485786,AP2A2,1.02545646277548
BCH_0252-01,novelGene_AP3B1_AS_novelGene_ENSG00000253558_AS,3.90482621478154,AP3B1,2.27464671088379
BCH_0252-01,novelGene_AP3M1_AS,2.15872718229532,AP3M1,0.733062544655235
BCH_0252-01,novelGene_AP3S1_AS,3.06239819038501,AP3S1,-1.22437541961696
BCH_0252-01,novelGene_AP4M1_AS,3.55197575493778,AP4M1,-0.493028526920156
BCH_0252-01,novelGene_AP5S1_AS,3.98186346559125,AP5S1,0.757297053991316
BCH_0252-01,novelGene_APH1B_AS,2.30708120080123,APH1B,0.0801655280452411
BCH_0252-01,novelGene_APOBEC3C_AS_novelGene_APOBEC3D_AS,5.38815906080325,APOBEC3C,-0.390930707878815
BCH_0252-01,novelGene_APOO_AS,2.36902828801101,APOO,-0.91234022456109
BCH_0252-01,novelGene_APPBP2_AS,2.52881733121999,APPBP2,1.35741032245297
BCH_0252-01,novelGene_AQR_AS,2.24469695458315,AQR,1.63112066686385
BCH_0252-01,novelGene_ARF1_AS,2.91682512812179,ARF1,-1.16230139765586
BCH_0252-01,novelGene_ARFGEF1_AS,3.7719031673929,ARFGEF1,2.01202453896311
BCH_0252-01,novelGene_ARHGAP12_AS,2.86209327462824,ARHGAP12,1.39386747786282
BCH_0252-01,novelGene_ARHGAP17_AS,3.00179767051163,ARHGAP17,-0.254752424500038
BCH_0252-01,novelGene_ARHGAP18_AS,2.27296188052081,ARHGAP18,0.278889526999748
BCH_0252-01,novelGene_ARHGAP21_AS,4.0061786412772,ARHGAP21,3.61417040437954
BCH_0252-01,novelGene_ARHGAP32_AS,2.36335596024899,ARHGAP32,-0.252867890482976
BCH_0252-01,novelGene_ARHGAP39_AS,2.05249329958738,ARHGAP39,0.39386773678134
BCH_0252-01,novelGene_ARHGEF18_AS,2.00113830218077,ARHGEF18,0.304933849907561
BCH_0252-01,novelGene_ARID1A_AS,2.40498092325025,ARID1A,0.430371168421287
BCH_0252-01,novelGene_ARID4A_AS,3.64598530549987,ARID4A,3.08552673025317
BCH_0252-01,novelGene_ARL2BP_AS,4.47236046815356,ARL2BP,-1.52600542639479
BCH_0252-01,novelGene_ARL6IP5_AS,3.40890816600431,ARL6IP5,-1.20465002300514
BCH_0252-01,novelGene_ARMCX3_AS_novelGene_ENSG00000261101_AS,5.38815906080325,ARMCX3,1.06369291666379
BCH_0252-01,novelGene_ARMH3_AS,3.31553804261495,ARMH3,0.366827358651326
BCH_0252-01,novelGene_ARNT_AS,3.35332853966037,ARNT,1.1658053891556
BCH_0252-01,novelGene_ARPC4-TTLL3_AS_novelGene_TTLL3_AS,2.53721564444241,ARPC4-TTLL3,-0.716479399340681
BCH_0252-01,novelGene_ASB6_AS,2.14346583925175,ASB6,-0.182821338929499
BCH_0252-01,novelGene_ASMTL_AS,3.01327741564724,ASMTL,-1.05724890803452
BCH_0252-01,novelGene_ASPH_AS,3.02809277957793,ASPH,1.06628868027017
BCH_0252-01,novelGene_ASPM_AS,4.6623892438123,ASPM,2.28534754304707
BCH_0252-01,novelGene_ASXL2_AS,3.14699158306957,ASXL2,2.65174891892068
BCH_0252-01,novelGene_ATE1_AS,4.32525356789902,ATE1,0.672635737681194
BCH_0252-01,novelGene_ATF1_AS,3.66772084623575,ATF1,-0.147277070710393
BCH_0252-01,novelGene_ATF2_AS,2.979584382575,ATF2,1.54131517563496
BCH_0252-01,novelGene_ATF5_AS,4.12182055035331,ATF5,1.18885825755647
BCH_0252-01,novelGene_ATG4A_AS,5.38815906080325,ATG4A,0.0158980610086847
BCH_0252-01,novelGene_ATG4D_AS,4.03663216229248,ATG4D,-0.7324090641778
BCH_0252-01,novelGene_ATP2B1_AS,2.13676549602535,ATP2B1,0.524529339465145
BCH_0252-01,novelGene_ATP2C1_AS,2.09296582609532,ATP2C1,0.76326790115905
BCH_0252-01,novelGene_ATP5MF-PTCD1_AS_novelGene_ATP5MF_AS_novelGene_PTCD1_AS,5.38815906080325,ATP5MF-PTCD1,-0.210405469083201
BCH_0252-01,novelGene_ATP5MG_AS,2.28740310889364,ATP5MG,-0.352937417959023
BCH_0252-01,novelGene_ATP5PDP4_AS,4.27152295522936,ATP5PDP4,-0.179605302026775
BCH_0252-01,novelGene_ATP6V0A1_AS,2.75858183827688,ATP6V0A1,-0.469758190203182
BCH_0252-01,novelGene_ATP6V0E1_AS,4.10180880827684,ATP6V0E1,-0.643925335151434
BCH_0252-01,novelGene_ATP6V1A_AS,2.436325439753,ATP6V1A,0.813044425565471
BCH_0252-01,novelGene_ATP6V1H_AS,3.23085480814082,ATP6V1H,1.85273949115906
BCH_0252-01,novelGene_ATP9A_AS,3.39013564269189,ATP9A,0.892641523602163
BCH_0252-01,novelGene_ATRN_AS,3.20311992777286,ATRN,1.0776437180535
BCH_0252-01,novelGene_ATXN10_AS_novelGene_ENSG00000280383_AS,2.38373527619131,ATXN10,-0.686894478929865
BCH_0252-01,novelGene_ATXN1_AS,2.93966729824495,ATXN1,0.790525529233218
BCH_0252-01,novelGene_ATXN2_AS,2.42157169256071,ATXN2,1.66487102940801
BCH_0252-01,novelGene_ATXN3_AS,3.97275049308342,ATXN3,1.16359761573507
BCH_0252-01,novelGene_AUH_AS,3.27995530417008,AUH,1.51792099011534
BCH_0252-01,novelGene_B3GALNT1P1_AS,3.80530826935425,B3GALNT1P1,
BCH_0252-01,novelGene_B3GALT9_AS,5.38815906080325,B3GALT9,1.68131347980009
BCH_0252-01,novelGene_B9D2_AS,3.98837257528823,B9D2,-0.139329597467802
BCH_0252-01,novelGene_BACH1-IT1_AS,5.38815906080325,BACH1-IT1,-0.318411974881573
BCH_0252-01,novelGene_BACH1_AS,3.44991197722828,BACH1,1.61219632202008
BCH_0252-01,novelGene_BAD_AS,2.87740951292152,BAD,-0.901437684301832
BCH_0252-01,novelGene_BBS2_AS,3.57228036046592,BBS2,1.34003636506964
BCH_0252-01,novelGene_BCR_AS,3.0437810935056,BCR,0.712764832305745
BCH_0252-01,novelGene_BEND3P1_AS_novelGene_ENSG00000293353_AS,3.17649177588854,BEND3P1,
BCH_0252-01,novelGene_BFSP1_AS,2.71589691105061,BFSP1,-1.41140179531582
BCH_0252-01,novelGene_BIRC6_AS_novelGene_ENSG00000276334_AS,4.39648161282893,BIRC6,0.782166080000732
BCH_0252-01,novelGene_BIVM-ERCC5_AS_novelGene_BIVM_AS,3.3114949492984,BIVM-ERCC5,1.33316453225398
BCH_0252-01,novelGene_BLOC1S6_AS,2.45645995605389,BLOC1S6,2.5132168189066
BCH_0252-01,novelGene_BMPR1A_AS,3.44374422093741,BMPR1A,0.867696585157221
BCH_0252-01,novelGene_BMPR2_AS,3.34179107049529,BMPR2,1.65956593567461
BCH_0252-01,novelGene_BOD1L1_AS,3.5100129312925,BOD1L1,0.204762143069965
BCH_0252-01,novelGene_BOD1_AS,4.37465092745787,BOD1,-0.454337221028626
BCH_0252-01,novelGene_BOLA2-SMG1P6_AS,3.61368690792629,BOLA2-SMG1P6,-1.27178053067133
BCH_0252-01,novelGene_BOLA3-DT_AS,4.33042175648572,BOLA3-DT,0.0160996133444724
BCH_0252-01,novelGene_BORA_AS,3.10634331657952,BORA,0.959111194922142
BCH_0252-01,novelGene_BORCS8_AS,2.69135686509802,BORCS8,-0.456747559487598
BCH_0252-01,novelGene_BRIP1_AS,4.10444358798376,BRIP1,0.790070708489117
BCH_0252-01,novelGene_BRPF1_AS,3.07646369517055,BRPF1,1.06059616422484
BCH_0252-01,novelGene_BRPF3_AS,2.29633822023568,BRPF3,-1.18629647531222
BCH_0252-01,novelGene_BRWD1_AS,3.59788965227331,BRWD1,0.640108811175823
BCH_0252-01,novelGene_BTAF1_AS,2.24558187714622,BTAF1,1.68277151570618
BCH_0252-01,novelGene_BTBD19_AS,2.72915805834702,BTBD19,-0.610803747446529
BCH_0252-01,novelGene_BTF3P6_AS,3.41553030912366,BTF3P6,
BCH_0252-01,novelGene_BTRC_AS,3.88519663520359,BTRC,1.5195801555289
BCH_0252-01,novelGene_BZW2_AS,2.73476846219768,BZW2,-0.464110497806983
BCH_0252-01,novelGene_C1orf220_AS_novelGene_TEX35_AS,4.29937254773215,C1orf220,1.20878755304169
BCH_0252-01,novelGene_C22orf39_AS_novelGene_HIRA_AS,3.35676442335,C22orf39,-0.959366458900834
BCH_0252-01,novelGene_C2CD5_AS,4.07779340787512,C2CD5,1.59851153296249
BCH_0252-01,novelGene_C2orf15_AS_novelGene_ENSG00000241962_AS,5.38815906080325,C2orf15,-0.823324692614986
BCH_0252-01,novelGene_C2orf16_AS,2.01441516194015,C2orf16,-0.179605302026775
BCH_0252-01,novelGene_C2orf16_AS_novelGene_ZNF512_AS,2.51094277642062,C2orf16,-0.179605302026775
BCH_0252-01,novelGene_C3orf38_AS,2.72125001362597,C3orf38,-0.963498373233417
BCH_0252-01,novelGene_C4orf19_AS,4.29937254773215,C4orf19,2.77906599189629
BCH_0252-01,novelGene_C5_AS,3.53509532552924,C5,3.01705637725638
BCH_0252-01,novelGene_C6orf62_AS,2.45325523110564,C6orf62,0.576446086237987
BCH_0252-01,novelGene_CABIN1_AS,2.60385430993522,CABIN1,-0.522095790811698
BCH_0252-01,novelGene_CACNA1G_AS,5.38815906080325,CACNA1G,2.97064082523369
BCH_0252-01,novelGene_CANX_AS,2.50299479870092,CANX,1.39971962937406
BCH_0252-01,novelGene_CAP1_AS,2.06868423031165,CAP1,0.251914863389301
BCH_0252-01,novelGene_CAPRIN1_AS,2.09151406196116,CAPRIN1,1.17974348629214
BCH_0252-01,novelGene_CARM1_AS,2.41595520909753,CARM1,0.0259464095113484
BCH_0252-01,novelGene_CBLB_AS,3.4572102119719,CBLB,1.39945375558011
BCH_0252-01,novelGene_CBX5_AS,2.91407905470388,CBX5,1.1039959772091
BCH_0252-01,novelGene_CC2D2B_AS,2.67047309595379,CC2D2B,0.718507081877582
BCH_0252-01,novelGene_CCDC127_AS_novelGene_ENSG00000260774_AS,2.40702577943185,CCDC127,-1.2000007085619
BCH_0252-01,novelGene_CCDC14_AS,2.37550517986479,CCDC14,1.74740431453816
BCH_0252-01,novelGene_CCDC159_AS,5.38815906080325,CCDC159,-1.09707419017387
BCH_0252-01,novelGene_CCDC28A_AS,2.84686556278474,CCDC28A,-0.324983799694073
BCH_0252-01,novelGene_CCDC39_AS_novelGene_ENSG00000145075_AS,2.00387794222188,CCDC39,5.38815906080325
BCH_0252-01,novelGene_CCDC47_AS,2.46933120843388,CCDC47,1.60459427642697
BCH_0252-01,novelGene_CCDC57_AS,2.14931782171313,CCDC57,-0.0589295475619576
BCH_0252-01,novelGene_CCDC68_AS,5.38815906080325,CCDC68,-0.269605476310289
BCH_0252-01,novelGene_CCDC7_AS,4.03952550898208,CCDC7,1.93244942551494
BCH_0252-01,novelGene_CCNB2_AS,2.15409776770171,CCNB2,0.480789393452786
BCH_0252-01,novelGene_CCNDBP1_AS,4.00723931578067,CCNDBP1,-0.657230803138045
BCH_0252-01,novelGene_CCNY_AS,3.68679336326453,CCNY,0.847316462137095
BCH_0252-01,novelGene_CCT6B_AS,3.03689755764666,CCT6B,-0.125196972443153
BCH_0252-01,novelGene_CCT6P3_AS,2.31223320641074,CCT6P3,-1.59789641527711
BCH_0252-01,novelGene_CCT8P1_AS,5.38815906080325,CCT8P1,-0.375891214784565
BCH_0252-01,novelGene_CCZ1B_AS,2.90862183966327,CCZ1B,-0.428468506505642
BCH_0252-01,novelGene_CD163L1_AS,2.3598250280779,CD163L1,-0.766069249798761
BCH_0252-01,novelGene_CD2AP_AS,2.46785096083265,CD2AP,1.13369871105668
BCH_0252-01,novelGene_CDC25A_AS,2.65871638444802,CDC25A,0.826319827654154
BCH_0252-01,novelGene_CDC40_AS,2.45080987784741,CDC40,2.16482757889073
BCH_0252-01,novelGene_CDC42-IT1_AS,5.38815906080325,CDC42-IT1,-0.256541825361914
BCH_0252-01,novelGene_CDC42BPB_AS,2.57807975753385,CDC42BPB,2.58253255916947
BCH_0252-01,novelGene_CDC42EP4_AS,2.95299774200954,CDC42EP4,0.209936682232091
BCH_0252-01,novelGene_CDK5RAP1_AS,3.83765978382256,CDK5RAP1,-1.4591941789908
BCH_0252-01,novelGene_CDKL1_AS,2.67663157926324,CDKL1,0.489184277809345
BCH_0252-01,novelGene_CDKN2C_AS,2.21776148493151,CDKN2C,0.172390067417217
BCH_0252-01,novelGene_CELSR3_AS,2.58387408857845,CELSR3,0.119474641172062
BCH_0252-01,novelGene_CEND1_AS_novelGene_SLC25A22_AS,2.4618610690126,CEND1,-0.766454160630584
BCH_0252-01,novelGene_CENPA_AS,5.38815906080325,CENPA,1.00930754751526
BCH_0252-01,novelGene_CENPE_AS,3.19702363592809,CENPE,2.22036985205468
BCH_0252-01,novelGene_CENPH_AS,3.67524116131592,CENPH,-0.0905741426510771
BCH_0252-01,novelGene_CENPI_AS,4.49214709152837,CENPI,2.31250092144729
BCH_0252-01,novelGene_CENPN-AS1_AS_novelGene_ENSG00000284512_AS,3.17677686287564,novelGene_CENPN,
BCH_0252-01,novelGene_CEP112_AS,2.04720986167078,CEP112,0.813620875988691
BCH_0252-01,novelGene_CEP120_AS,2.0952903335281,CEP120,2.30386882704911
BCH_0252-01,novelGene_CEP128_AS,4.38370711636038,CEP128,-0.101981445370435
BCH_0252-01,novelGene_CEP57L1_AS,2.60919369484366,CEP57L1,1.54389074774814
BCH_0252-01,novelGene_CERT1_AS,4.06421692055053,CERT1,1.79632346887217
BCH_0252-01,novelGene_CETN3_AS,4.81149396069079,CETN3,0.0905679750939851
BCH_0252-01,novelGene_CFAP44_AS,2.74912980055455,CFAP44,1.59964442844001
BCH_0252-01,novelGene_CFAP77_AS,3.11905930208975,CFAP77,-0.575034257115058
BCH_0252-01,novelGene_CHCHD3_AS,3.28206123417564,CHCHD3,-0.181727219575085
BCH_0252-01,novelGene_CHEK1_AS,2.45403309165966,CHEK1,0.632544967238795
BCH_0252-01,novelGene_CHKA_AS,3.57849533892925,CHKA,-0.663647364484919
BCH_0252-01,novelGene_CHMP3_AS,3.49184757696346,CHMP3,2.41146731464925
BCH_0252-01,novelGene_CHMP4B_AS,5.38815906080325,CHMP4B,-0.695673852713586
BCH_0252-01,novelGene_CHN2_AS,2.25213856789126,CHN2,2.90642269179731
BCH_0252-01,novelGene_CHRNB2_AS,3.28823959663676,CHRNB2,
BCH_0252-01,novelGene_CHST15_AS,2.07951318857737,CHST15,-0.828048428445958
BCH_0252-01,novelGene_CHST3_AS,2.20350115185994,CHST3,0.488984831029645
BCH_0252-01,novelGene_CHST7_AS,4.3049490017461,CHST7,-0.568660747607844
BCH_0252-01,novelGene_CIMAP1B_AS,2.38278605045574,CIMAP1B,-0.438852224000143
BCH_0252-01,novelGene_CIT_AS,3.07182433318098,CIT,0.912404236060302
BCH_0252-01,novelGene_CIZ1_AS,2.56428688816251,CIZ1,-0.195861098251247
BCH_0252-01,novelGene_CKAP2L_AS,2.81220721985718,CKAP2L,1.69411485965418
BCH_0252-01,novelGene_CKMT2_AS_novelGene_RASGRF2_AS,4.37465092745787,CKMT2,1.38892382743173
BCH_0252-01,novelGene_CLASP2_AS,2.28341405014578,CLASP2,1.01982687463707
BCH_0252-01,novelGene_CLIC4_AS,3.74051693705471,CLIC4,1.46212973504491
BCH_0252-01,novelGene_CLIP1-AS1_AS,5.38815906080325,novelGene_CLIP1,
BCH_0252-01,novelGene_CLIP1_AS,4.04868212295524,CLIP1,3.32338683979845
BCH_0252-01,novelGene_CLIP4_AS,2.17342232203923,CLIP4,0.957824553290576
BCH_0252-01,novelGene_CLTB_AS,2.63119904570332,CLTB,-0.980097132998358
BCH_0252-01,novelGene_CMC2_AS,3.41432733863109,CMC2,-0.335971694364356
BCH_0252-01,novelGene_CMKLR2-AS_AS,2.0981975388475,novelGene_CMKLR2,
BCH_0252-01,novelGene_CNIH4_AS,5.38815906080325,CNIH4,-0.715226498434929
BCH_0252-01,novelGene_CNOT11_AS,2.53429618305518,CNOT11,-0.326362572758837
BCH_0252-01,novelGene_CNOT2_AS_novelGene_ENSG00000289283_AS,2.26437866160913,CNOT2,3.24021455706033
BCH_0252-01,novelGene_CNRIP1_AS,2.68088370845681,CNRIP1,-1.49883024659924
BCH_0252-01,novelGene_CNTNAP1_AS,2.42317415043605,CNTNAP1,0.54553468285055
BCH_0252-01,novelGene_COA8_AS,3.23275185964682,COA8,-0.215268598477323
BCH_0252-01,novelGene_COLGALT2_AS,3.44190434709422,COLGALT2,2.25593792630637
BCH_0252-01,novelGene_COMT_AS,2.25607864832566,COMT,0.626626495887598
BCH_0252-01,novelGene_COPA_AS,2.33931915713713,COPA,1.80709647978224
BCH_0252-01,novelGene_COPG2_AS,2.06311465128845,COPG2,-0.0782505959112317
BCH_0252-01,novelGene_COQ8B_AS,4.03663216229248,COQ8B,-0.75185823342171
BCH_0252-01,novelGene_CORO6_AS,5.38815906080325,CORO6,-0.437643507102841
BCH_0252-01,novelGene_COX19_AS,3.65478552877661,COX19,0.40200096042032
BCH_0252-01,novelGene_CPEB3_AS,2.7109213207335,CPEB3,1.73717174277973
BCH_0252-01,novelGene_CPLANE1_AS,3.10828323614959,CPLANE1,1.0177060607404
BCH_0252-01,novelGene_CPS1_AS,4.38175930545061,CPS1,2.59238980029689
BCH_0252-01,novelGene_CPSF2_AS,3.71432636729152,CPSF2,1.0236281333553
BCH_0252-01,novelGene_CPT1A_AS,2.29071319811903,CPT1A,0.472381729412811
BCH_0252-01,novelGene_CPT1C_AS,2.62800362601682,CPT1C,-0.348232891143168
BCH_0252-01,novelGene_CRACD_AS,3.98298198637236,CRACD,-0.558977998294907
BCH_0252-01,novelGene_CRADD_AS,2.42077274507003,CRADD,-0.845885666536749
BCH_0252-01,novelGene_CREBBP_AS,2.75857346848107,CREBBP,-0.667271682821698
BCH_0252-01,novelGene_CRIPT_AS,3.17737004413622,CRIPT,0.672074509614272
BCH_0252-01,novelGene_CRLS1_AS_novelGene_ENSG00000286235_AS,4.37033954554536,CRLS1,-0.544446485639435
BCH_0252-01,novelGene_CRTAP_AS,2.06585230945127,CRTAP,0.0532485384187699
BCH_0252-01,novelGene_CRY2_AS,4.29937254773215,CRY2,-0.0040736598908274
BCH_0252-01,novelGene_CRYBG1_AS,3.3330598793117,CRYBG1,0.35179408100168
BCH_0252-01,novelGene_CRYBG3_AS,5.38815906080325,CRYBG3,0.844080963197188
BCH_0252-01,novelGene_CRYL1_AS,2.03949656613034,CRYL1,-1.1398380865378
BCH_0252-01,novelGene_CSE1L-DT_AS,5.38815906080325,CSE1L-DT,5.38815906080325
BCH_0252-01,novelGene_CSE1L_AS,3.32390392646977,CSE1L,0.958917897940171
BCH_0252-01,novelGene_CSGALNACT2_AS,3.5971946413128,CSGALNACT2,1.29818928641978
BCH_0252-01,novelGene_CSNK1A1L_AS,4.9180042007405,CSNK1A1L,-0.179605302026775
BCH_0252-01,novelGene_CSNK2A1_AS,3.74428530502617,CSNK2A1,1.18136862370476
BCH_0252-01,novelGene_CSNK2A2_AS,4.37465092745787,CSNK2A2,-0.292556612923874
BCH_0252-01,novelGene_CSTPP1_AS,2.45081499728687,CSTPP1,-1.03052450239233
BCH_0252-01,novelGene_CT45A8_AS,5.38815906080325,CT45A8,
BCH_0252-01,novelGene_CTNND1_AS,3.80516100345024,CTNND1,0.427898702464652
BCH_0252-01,novelGene_CTSB_AS,2.04454062352197,CTSB,0.84873277048705
BCH_0252-01,novelGene_CYB561_AS,2.20548413739965,CYB561,1.02972758095809
BCH_0252-01,novelGene_CYB5B_AS,3.74223513372081,CYB5B,-1.47393178942071
BCH_0252-01,novelGene_CYB5R4_AS,3.53498757832312,CYB5R4,0.357718402413134
BCH_0252-01,novelGene_DAB2_AS,3.28395518335239,DAB2,0.0109105525857397
BCH_0252-01,novelGene_DAGLB_AS_novelGene_KDELR2_AS,2.08370099240722,DAGLB,1.82886501175547
BCH_0252-01,novelGene_DAPK2_AS,2.35669324885094,DAPK2,0.320118521060469
BCH_0252-01,novelGene_DARS1_AS,2.32562261849004,DARS1,2.33462008045484
BCH_0252-01,novelGene_DAZAP1_AS,3.35967287073259,DAZAP1,0.0114932570608463
BCH_0252-01,novelGene_DCAF6_AS,2.54662596082951,DCAF6,0.770110887918409
BCH_0252-01,novelGene_DCBLD1_AS,2.38246996957038,DCBLD1,-0.230579620462429
BCH_0252-01,novelGene_DCP1A_AS,2.17988205330224,DCP1A,0.868828700178649
BCH_0252-01,novelGene_DCTN1_AS,3.23354747328197,DCTN1,-0.202739244025502
BCH_0252-01,novelGene_DCUN1D2_AS,3.11875312077703,DCUN1D2,1.48799269601225
BCH_0252-01,novelGene_DDI2_AS,5.38815906080325,DDI2,2.03105297317726
BCH_0252-01,novelGene_DDN-AS1_AS,5.38815906080325,novelGene_DDN,
BCH_0252-01,novelGene_DDX39B_AS,3.40262290517787,DDX39B,-1.09796897636687
BCH_0252-01,novelGene_DDX42_AS,2.04435296154198,DDX42,0.687858670980738
BCH_0252-01,novelGene_DDX43_AS,3.00320668011292,DDX43,-0.603623173042734
BCH_0252-01,novelGene_DDX47_AS,2.11153216979211,DDX47,0.693382705632519
BCH_0252-01,novelGene_DDX59_AS,3.66863238433303,DDX59,1.18172389076755
BCH_0252-01,novelGene_DEK_AS,3.00266952918315,DEK,0.437300854418577
BCH_0252-01,novelGene_DENND4C_AS,3.27935812996017,DENND4C,2.54840762411445
BCH_0252-01,novelGene_DEPDC5_AS,3.20817240746326,DEPDC5,0.152147555550961
BCH_0252-01,novelGene_DERL1_AS,4.35900668049365,DERL1,-0.458760765780163
BCH_0252-01,novelGene_DERL2_AS,3.50925864002113,DERL2,-0.948795079184759
BCH_0252-01,novelGene_DGUOK_AS,3.0568879899891,DGUOK,-0.655990211887249
BCH_0252-01,novelGene_DHCR24_AS,2.75423933838143,DHCR24,-0.497306369052546
BCH_0252-01,novelGene_DHDDS_AS,3.56981818386451,DHDDS,-1.45941900662027
BCH_0252-01,novelGene_DHODH_AS,2.33581416259767,DHODH,-0.94646477712363
BCH_0252-01,novelGene_DHX15_AS,3.06846298907279,DHX15,0.29208692661399
BCH_0252-01,novelGene_DHX16_AS,4.47698327492215,DHX16,0.568536175176214
BCH_0252-01,novelGene_DHX30_AS,2.34081964824101,DHX30,0.75463783410368
BCH_0252-01,novelGene_DHX34_AS,2.20851306037168,DHX34,-0.0262334137027621
BCH_0252-01,novelGene_DHX37_AS,2.49296659326442,DHX37,0.225841032412032
